Assembly Accession	Assembly Name	Organism Name	Annotation Name	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Assembly BioProject Accession	Assembly BioSample Accession
GCF_021484905.1	ASM2148490v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-16	1	PRJNA742487	SAMN23416908
GCF_001896005.1	ASM189600v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-09	2	PRJNA271775	SAMN06077191
GCF_023360975.1	ASM2336097v1	Acinetobacter baumannii	GCF_023360975.1-RS_2024_05_21	Complete Genome	2022-05-13	1	PRJNA789460	SAMN24114688
GCF_003010675.1	ASM301067v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-03-19	2	PRJNA292904	SAMN04014942
GCF_012934905.1	ASM1293490v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-30	3	PRJNA613562	SAMN14409516
GCF_024139035.1	ASM2413903v1	Acinetobacter baumannii	GCF_024139035.1-RS_2024_07_14	Complete Genome	2022-07-05	2	PRJNA731249	SAMN19356535
GCF_023981045.1	ASM2398104v1	Acinetobacter baumannii	GCF_023981045.1-RS_2024_07_05	Complete Genome	2022-06-28	1	PRJNA580046	SAMN13150932
GCF_023517195.1	ASM2351719v1	Acinetobacter baumannii	GCF_023517195.1-RS_2024_05_27	Complete Genome	2022-05-23	2	PRJNA738868	SAMN19762528
GCF_003812485.1	ASM381248v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-11-21	4	PRJNA505170	SAMN10411605
GCF_018808925.1	ASM1880892v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-09	3	PRJNA602058	SAMN13874777
GCF_001578145.1	ASM157814v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-03-01	1	PRJNA290306	SAMN03890256
GCF_021899715.1	ASM2189971v1	Acinetobacter baumannii	GCF_021899715.1-RS_2024_03_17	Complete Genome	2022-02-03	4	PRJNA779589	SAMN25263435
GCF_003431385.1	ASM343138v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-07-28	3	PRJNA311558	SAMN07289440
GCF_041154855.1	ASM4115485v1	Acinetobacter baumannii	GCF_041154855.1-RS_2024_08_10	Complete Genome	2024-08-10	1	PRJDB18098	SAMD00778487
GCF_029674685.1	ASM2967468v1	Acinetobacter baumannii	GCF_029674685.1-RS_2024_04_21	Complete Genome	2023-04-11	2	PRJNA939738	SAMN33498121
GCF_034494405.1	ASM3449440v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-20	5	PRJNA812595	SAMN36514289
GCF_043048875.1	ASM4304887v1	Acinetobacter baumannii	GCF_043048875.1-RS_2024_10_13	Complete Genome	2024-10-15	1	PRJNA1016089	SAMN37368123
GCF_043046095.1	ASM4304609v1	Acinetobacter baumannii	GCF_043046095.1-RS_2024_10_13	Complete Genome	2024-10-15	2	PRJNA1016089	SAMN37368127
GCF_002996805.1	ASM299680v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-03-14	2	PRJNA292904	SAMN04014924
GCF_023809625.1	ASM2380962v1	Acinetobacter baumannii	GCF_023809625.1-RS_2024_06_24	Complete Genome	2022-06-20	4	PRJNA848080	SAMN28980502
GCF_038987955.1	ASM3898795v1	Acinetobacter baumannii	GCF_038987955.1-RS_2024_05_02	Complete Genome	2024-05-03	2	PRJNA992789	SAMN36374880
GCF_005518095.1	ASM551809v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-05-20	4	PRJNA542432	SAMN11621520
GCF_041927285.1	ASM4192728v1	Acinetobacter baumannii	GCF_041927285.1-RS_2024_09_16	Complete Genome	2024-09-17	3	PRJNA1158483	SAMN43539523
GCF_012935005.1	ASM1293500v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-30	7	PRJNA613679	SAMN14414761
GCF_024139095.1	ASM2413909v1	Acinetobacter baumannii	GCF_024139095.1-RS_2024_07_14	Complete Genome	2022-07-05	2	PRJNA731249	SAMN19356522
GCF_024749665.1	ASM2474966v1	Acinetobacter baumannii	GCF_024749665.1-RS_2024_09_11	Complete Genome	2022-08-26	4	PRJNA779872	SAMN23078449
GCF_006385075.1	ASM638507v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-06-22	1	PRJNA548265	SAMN12015779
GCF_021609965.1	ASM2160996v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-26	1	PRJNA742487	SAMN23416895
GCF_003522665.1	ASM352266v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-09-10	2	PRJNA311558	SAMN07520236
GCF_022459155.1	ASM2245915v1	Acinetobacter baumannii	GCF_022459155.1-RS_2024_04_21	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131646
GCF_039545565.1	NCSR_106 Hybrid assembly	Acinetobacter baumannii	GCF_039545565.1-RS_2024_05_07	Complete Genome	2024-05-08	6	PRJNA835506	SAMN41107056
GCF_003264275.1	ASM326427v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-25	2	PRJNA273343	SAMN07135565
GCF_022459415.1	ASM2245941v1	Acinetobacter baumannii	GCF_022459415.1-RS_2024_04_21	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131643
GCF_025916215.1	ASM2591621v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-31	2	PRJNA890411	SAMN31277299
GCF_043051495.1	ASM4305149v1	Acinetobacter baumannii	GCF_043051495.1-RS_2024_10_13	Complete Genome	2024-10-15	3	PRJNA1016089	SAMN37368119
GCF_015732435.1	ASM1573243v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-03	1	PRJNA640471	SAMN15778733
GCF_022548575.1	ASM2254857v1	Acinetobacter baumannii	GCF_022548575.1-RS_2024_04_21	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131652
GCF_038441215.1	ASM3844121v1	Acinetobacter baumannii	GCF_038441215.1-RS_2024_04_25	Complete Genome	2024-04-25	3	PRJNA1000275	SAMN36766190
GCF_012931625.1	ASM1293162v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-29	6	PRJNA473419	SAMN14667516
GCF_023361075.1	ASM2336107v1	Acinetobacter baumannii	GCF_023361075.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114683
GCF_038441245.1	ASM3844124v1	Acinetobacter baumannii	GCF_038441245.1-RS_2024_04_24	Complete Genome	2024-04-25	2	PRJNA1000275	SAMN36766187
GCF_017724155.1	ASM1772415v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-03	5	PRJNA716785	SAMN18452342
GCF_025258785.1	ASM2525878v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19	3	PRJNA812595	SAMN21493859
GCF_017726495.1	ASM1772649v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-03	5	PRJNA716795	SAMN18452699
GCF_017724115.1	ASM1772411v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-03	5	PRJNA716782	SAMN18452334
GCF_017724215.1	ASM1772421v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-03	5	PRJNA716794	SAMN18452698
GCF_017726555.1	ASM1772655v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-03	5	PRJNA716802	SAMN18452712
GCF_003431865.1	ASM343186v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-28	5	PRJNA316321	SAMN04014911
GCF_025369955.1	ASM2536995v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-22	3	PRJNA812595	SAMN21924069
GCF_025258845.1	ASM2525884v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19	3	PRJNA812595	SAMN21493862
GCF_009455505.1	ASM945550v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-01	1	PRJNA472798	SAMN09244200
GCF_025258745.1	ASM2525874v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19	3	PRJNA812595	SAMN21924071
GCF_025258805.1	ASM2525880v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19	3	PRJNA812595	SAMN21493860
GCF_012931645.1	ASM1293164v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-29	5	PRJNA473419	SAMN14667515
GCF_025258765.1	ASM2525876v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19	3	PRJNA812595	SAMN21493827
GCF_017723975.1	ASM1772397v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-03	5	PRJNA716781	SAMN18452234
GCF_024749745.1	ASM2474974v1	Acinetobacter baumannii	GCF_024749745.1-RS_2024_09_11	Complete Genome	2022-08-26	3	PRJNA779872	SAMN23078445
GCF_024749765.1	ASM2474976v1	Acinetobacter baumannii	GCF_024749765.1-RS_2024_09_11	Complete Genome	2022-08-26	3	PRJNA779872	SAMN23078444
GCF_003345235.1	ASM334523v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-07-30	3	PRJNA311558	SAMN07559626
GCF_040834015.1	ASM4083401v1	Acinetobacter baumannii	GCF_040834015.1-RS_2024_07_25	Complete Genome	2024-07-25	5	PRJNA1136225	SAMN42510403
GCF_039780165.1	ASM3978016v1	Acinetobacter baumannii	GCF_039780165.1-RS_2024_05_24	Complete Genome	2024-05-24	4	PRJNA812075	SAMN41384382
GCF_025258705.1	ASM2525870v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19	5	PRJNA812595	SAMN21924070
GCF_016864295.1	ASM1686429v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-11	1	PRJNA644570	SAMN15501054
GCF_001026965.1	ASM102696v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-06-03	2	PRJNA273343	SAMN03290686
GCF_001514375.1	ASM151437v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-01-14	2	PRJNA291316	SAMN03941550
GCF_038442225.1	CIRI-40288	Acinetobacter baumannii	GCF_038442225.1-RS_2024_04_25	Complete Genome	2024-04-25	2	PRJNA1100485	SAMN40971052
GCF_019457715.1	ASM1945771v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-08-06	2	PRJNA741866	SAMN19911946
GCF_023361195.1	ASM2336119v1	Acinetobacter baumannii	GCF_023361195.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114675
GCF_005280435.1	ASM528043v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-05-11	3	PRJNA540767	SAMN11557458
GCF_013305465.1	ASM1330546v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-06-09	1	PRJNA631347	SAMN14859482
GCF_023361855.1	ASM2336185v1	Acinetobacter baumannii	GCF_023361855.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114668
GCF_017742855.1	ASM1774285v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-04	5	PRJNA716762	SAMN18451305
GCF_023361055.1	ASM2336105v1	Acinetobacter baumannii	GCF_023361055.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114684
GCF_017724195.1	ASM1772419v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-03	5	PRJNA716790	SAMN18452659
GCF_023361915.1	ASM2336191v1	Acinetobacter baumannii	GCF_023361915.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114665
GCF_003547115.1	ASM354711v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-28	5	PRJNA316321	SAMN04014893
GCF_023517695.1	ASM2351769v1	Acinetobacter baumannii	GCF_023517695.1-RS_2024_05_27	Complete Genome	2022-05-23	3	PRJNA738868	SAMN19774653
GCF_002082785.1	ASM208278v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-04-10	2	PRJNA380857	SAMN06650239
GCF_024732425.1	ASM2473242v1	Acinetobacter baumannii	GCF_024732425.1-RS_2024_09_07	Complete Genome	2022-08-22	2	PRJNA472828	SAMN09244924
GCF_001543995.1	ASM154399v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-02-02	3	PRJNA309091	SAMN04448797
GCF_028548795.2	ASM2854879v2	Acinetobacter baumannii	GCF_028548795.2-RS_2024_08_20	Complete Genome	2024-08-21	2	PRJNA917695	SAMN32546230
GCF_017098205.2	ASM1709820v2	Acinetobacter baumannii	GCF_017098205.2-RS_2024_05_21	Complete Genome	2021-11-16	2	PRJNA646312	SAMN15538700
GCF_023360995.1	ASM2336099v1	Acinetobacter baumannii	GCF_023360995.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114687
GCF_016864915.1	ASM1686491v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-11	3	PRJNA644570	SAMN15501316
GCF_022468195.1	ASM2246819v1	Acinetobacter baumannii	GCF_022468195.1-RS_2024_04_06	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131664
GCF_012272755.1	ASM1227275v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-11	3	PRJNA612123	SAMN14308864
GCF_023362155.1	ASM2336215v1	Acinetobacter baumannii	GCF_023362155.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114651
GCF_023362135.1	ASM2336213v1	Acinetobacter baumannii	GCF_023362135.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114652
GCF_023361175.1	ASM2336117v1	Acinetobacter baumannii	GCF_023361175.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114676
GCF_025854155.1	ASM2585415v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-26	3	PRJNA812594	SAMN30898357
GCF_038442575.1	CIRI-F15-01B	Acinetobacter baumannii	GCF_038442575.1-RS_2024_04_25	Complete Genome	2024-04-25	2	PRJNA1100485	SAMN40971037
GCF_038442585.1	CIRI-F15-01A	Acinetobacter baumannii	GCF_038442585.1-RS_2024_04_25	Complete Genome	2024-04-25	2	PRJNA1100485	SAMN40971036
GCF_001399655.1	ASM139965v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-10-19	5	PRJNA294725	SAMN04029125
GCF_025854015.1	ASM2585401v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-26	3	PRJNA812594	SAMN30898321
GCF_038442565.1	CIRI-F15-02	Acinetobacter baumannii	GCF_038442565.1-RS_2024_04_25	Complete Genome	2024-04-25	2	PRJNA1100485	SAMN40971038
GCF_023361875.1	ASM2336187v1	Acinetobacter baumannii	GCF_023361875.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114667
GCF_038442635.1	CIRI-F14-11	Acinetobacter baumannii	GCF_038442635.1-RS_2024_04_25	Complete Genome	2024-04-25	2	PRJNA1100485	SAMN40971035
GCF_021559695.1	ASM2155969v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-24	2	PRJNA637186	SAMN15097904
GCF_038442425.1	CIRI-F16-05	Acinetobacter baumannii	GCF_038442425.1-RS_2024_04_25	Complete Genome	2024-04-25	2	PRJNA1100485	SAMN40971040
GCF_023361235.1	ASM2336123v1	Acinetobacter baumannii	GCF_023361235.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114673
GCF_023362275.1	ASM2336227v1	Acinetobacter baumannii	GCF_023362275.1-RS_2024_05_21	Complete Genome	2022-05-13	3	PRJNA789460	SAMN24114644
GCF_043042175.1	ASM4304217v1	Acinetobacter baumannii	GCF_043042175.1-RS_2024_10_13	Complete Genome	2024-10-15	2	PRJNA1016089	SAMN37368133
GCF_024749485.1	ASM2474948v1	Acinetobacter baumannii	GCF_024749485.1-RS_2024_09_11	Complete Genome	2022-08-26	4	PRJNA779872	SAMN23078458
GCF_023361255.1	ASM2336125v1	Acinetobacter baumannii	GCF_023361255.1-RS_2024_05_21	Complete Genome	2022-05-13	3	PRJNA789460	SAMN24114672
GCF_022460295.1	ASM2246029v1	Acinetobacter baumannii	GCF_022460295.1-RS_2024_04_21	Complete Genome	2022-03-03	1	PRJNA798866	SAMN25131637
GCF_029774195.1	ASM2977419v1	Acinetobacter baumannii	GCF_029774195.1-RS_2024_04_24	Complete Genome	2023-04-17	3	PRJNA877402	SAMN30697790
GCF_025853995.1	ASM2585399v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-26	3	PRJNA812594	SAMN30898316
GCF_037429075.1	2024CK-00278	Acinetobacter baumannii	GCF_037429075.2-RS_2024_11_02	Complete Genome	2024-11-02	3	PRJNA812595	SAMN40557119
GCF_037008745.1	ASM3700874v2	Acinetobacter baumannii	GCF_037008745.1-RS_2024_06_02	Complete Genome	2024-05-24	3	PRJNA812595	SAMN40254326
GCF_024134685.1	ASM2413468v1	Acinetobacter baumannii	GCF_024134685.1-RS_2024_07_13	Complete Genome	2022-07-04	1	PRJNA850273	SAMN29176534
GCF_024426665.1	ASM2442666v1	Acinetobacter baumannii	GCF_024426665.1-RS_2024_08_10	Complete Genome	2022-07-25	2	PRJNA846279	SAMN28871714
GCF_021725415.1	ASM2172541v1	Acinetobacter baumannii	GCF_021725415.1-RS_2024_03_14	Complete Genome	2022-01-30	2	PRJNA799658	SAMN25185246
GCF_023361995.1	ASM2336199v1	Acinetobacter baumannii	GCF_023361995.1-RS_2024_05_21	Complete Genome	2022-05-13	3	PRJNA789460	SAMN24114661
GCF_038627335.1	ASM3862733v2	Acinetobacter baumannii	GCF_038627335.1-RS_2024_06_09	Complete Genome	2024-05-31	4	PRJNA812595	SAMN41094848
GCF_023362195.1	ASM2336219v1	Acinetobacter baumannii	GCF_023362195.1-RS_2024_05_21	Complete Genome	2022-05-13	3	PRJNA789460	SAMN24114648
GCF_013394285.1	ASM1339428v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-08	3	PRJNA574548	SAMN12859885
GCF_023362235.1	ASM2336223v1	Acinetobacter baumannii	GCF_023362235.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114646
GCF_002753915.1	ASM275391v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-06	3	PRJNA416212	SAMN07945345
GCF_012935145.1	ASM1293514v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-30	3	PRJNA613590	SAMN14410111
GCF_003948085.2	ASM394808v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-04-22	2	PRJNA497581	SAMN10261613
GCF_023362255.1	ASM2336225v1	Acinetobacter baumannii	GCF_023362255.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114645
GCF_043055495.1	ASM4305549v1	Acinetobacter baumannii	GCF_043055495.1-RS_2024_10_13	Complete Genome	2024-10-15	1	PRJNA1016089	SAMN37368111
GCF_023615345.1	ASM2361534v2	Acinetobacter baumannii	GCF_023615345.1-RS_2024_05_12	Complete Genome	2023-01-17	2	PRJNA812595	SAMN28788543
GCF_023809705.1	ASM2380970v1	Acinetobacter baumannii	GCF_023809705.1-RS_2024_06_24	Complete Genome	2022-06-20	6	PRJNA848083	SAMN28981486
GCF_023362095.1	ASM2336209v1	Acinetobacter baumannii	GCF_023362095.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114655
GCF_900478145.1	34555_D01	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-18	1	PRJEB6403	SAMEA3146530
GCF_003949115.2	ASM394911v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-04-22	2	PRJNA497581	SAMN10261535
GCF_023361155.1	ASM2336115v1	Acinetobacter baumannii	GCF_023361155.1-RS_2024_05_21	Complete Genome	2022-05-13	2	PRJNA789460	SAMN24114677
GCF_900088705.1	26872B01	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-06-13	2	PRJEB14024	SAMEA2439285
GCF_043571745.1	T3	Acinetobacter baumannii	GCF_043571745.1-RS_2024_10_23	Complete Genome	2024-10-24	2	PRJNA1171738	SAMN44252171
GCF_037215885.1	ASM3721588v1	Acinetobacter baumannii	GCF_037215885.1-RS_2024_04_05	Complete Genome	2024-04-05	3	PRJNA1086369	SAMN40374610
GCF_014705785.1	ASM1470578v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-23	2	PRJNA300270	SAMN12413929
GCF_034331205.1	ASM3433120v2	Acinetobacter baumannii	GCF_034331205.1-RS_2024_04_21	Complete Genome	2024-02-01	5	PRJNA812595	SAMN38788845
GCF_003006035.1	ASM300603v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-03-16	3	PRJNA292904	SAMN04014929
GCF_016127515.1	ASM1612751v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-20	2	PRJNA231221	SAMN16357205
GCF_002210065.1	ASM221006v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-06-28	6	PRJNA269083	SAMN07125723
GCF_030413705.1	ASM3041370v1	Acinetobacter baumannii	GCF_030413705.1-RS_2024_07_11	Complete Genome	2023-07-10	5	PRJNA989410	SAMN36085765
GCF_023361835.1	ASM2336183v1	Acinetobacter baumannii	GCF_023361835.1-RS_2024_05_21	Complete Genome	2022-05-13	3	PRJNA789460	SAMN24114669
GCF_024749625.1	ASM2474962v1	Acinetobacter baumannii	GCF_024749625.1-RS_2024_09_11	Complete Genome	2022-08-26	5	PRJNA779872	SAMN23078451
GCF_017639875.1	ASM1763987v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-03-30	5	PRJNA716155	SAMN18396008
GCF_035937495.1	ASM3593749v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-22	1	PRJNA1053778	SAMN38865782
GCF_012272735.1	ASM1227273v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-11	4	PRJNA612123	SAMN14308866
GCF_014705885.1	ASM1470588v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-23	2	PRJNA300270	SAMN12391536
GCF_022759565.1	ASM2275956v1	Acinetobacter baumannii	GCF_022759565.1-RS_2024_04_24	Complete Genome	2022-03-30	5	PRJNA818046	SAMN26814682
GCF_017098225.2	ASM1709822v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-16	3	PRJNA646312	SAMN15538698
